# Source: https://sightwords.com/sight-words/dolch/, 2026-08-13
# Attribution: to be supplied
# haporiCRM_ID: to be supplied
# List: Dolch Sight Words with NZ Year Levels
category,word
Pre-School,the
Pre-School,i
Pre-School,you
Pre-School,we
Pre-School,to
Pre-School,and
Pre-School,a
Pre-School,it
Pre-School,in
Pre-School,said
Pre-School,for
Pre-School,up
Pre-School,look
Pre-School,is
Pre-School,go
Pre-School,little
Pre-School,down
Pre-School,can
Pre-School,see
Pre-School,not
Pre-School,one
Pre-School,my
Pre-School,me
Pre-School,big
Pre-School,come
Pre-School,blue
Pre-School,red
Pre-School,where
Pre-School,jump
Pre-School,away
Pre-School,here
Pre-School,help
Pre-School,make
Pre-School,yellow
Pre-School,two
Pre-School,play
Pre-School,run
Pre-School,find
Pre-School,three
Pre-School,funny
Year 1,he
Year 1,was
Year 1,that
Year 1,she
Year 1,on
Year 1,they
Year 1,but
Year 1,at
Year 1,with
Year 1,all
Year 1,there
Year 1,out
Year 1,be
Year 1,have
Year 1,am
Year 1,do
Year 1,did
Year 1,what
Year 1,so
Year 1,get
Year 1,like
Year 1,this
Year 1,will
Year 1,yes
Year 1,went
Year 1,are
Year 1,now
Year 1,no
Year 1,came
Year 1,ride
Year 1,into
Year 1,good
Year 1,want
Year 1,too
Year 1,pretty
Year 1,four
Year 1,saw
Year 1,well
Year 1,ran
Year 1,eat
Year 1,who
Year 1,new
Year 1,must
Year 1,black
Year 1,white
Year 1,soon
Year 1,our
Year 1,ate
Year 1,say
Year 1,under
Year 1,please
Year 2,of
Year 2,his
Year 2,had
Year 2,him
Year 2,her
Year 2,some
Year 2,as
Year 2,then
Year 2,could
Year 2,when
Year 2,were
Year 2,them
Year 2,ask
Year 2,an
Year 2,over
Year 2,just
Year 2,from
Year 2,any
Year 2,how
Year 2,know
Year 2,put
Year 2,take
Year 2,every
Year 2,old
Year 2,by
Year 2,after
Year 2,think
Year 2,let
Year 2,going
Year 2,walk
Year 2,again
Year 2,may
Year 2,stop
Year 2,fly
Year 2,round
Year 2,give
Year 2,once
Year 2,open
Year 2,has
Year 2,live
Year 2,thank
Year 3,always
Year 3,around
Year 3,because
Year 3,been
Year 3,before
Year 3,best
Year 3,both
Year 3,buy
Year 3,call
Year 3,cold
Year 3,does
Year 3,don't
Year 3,fast
Year 3,first
Year 3,five
Year 3,found
Year 3,gave
Year 3,goes
Year 3,green
Year 3,its
Year 3,made
Year 3,many
Year 3,off
Year 3,or
Year 3,pull
Year 3,read
Year 3,right
Year 3,sing
Year 3,sit
Year 3,sleep
Year 3,tell
Year 3,their
Year 3,these
Year 3,those
Year 3,upon
Year 3,us
Year 3,use
Year 3,very
Year 3,wash
Year 3,which
Year 3,why
Year 3,wish
Year 3,work
Year 3,would
Year 3,write
Year 3,your
Year 4,about
Year 4,better
Year 4,bring
Year 4,carry
Year 4,clean
Year 4,cut
Year 4,done
Year 4,draw
Year 4,drink
Year 4,eight
Year 4,fall
Year 4,far
Year 4,full
Year 4,got
Year 4,grow
Year 4,hold
Year 4,hot
Year 4,hurt
Year 4,if
Year 4,keep
Year 4,kind
Year 4,laugh
Year 4,light
Year 4,long
Year 4,much
Year 4,myself
Year 4,never
Year 4,only
Year 4,own
Year 4,pick
Year 4,seven
Year 4,shall
Year 4,show
Year 4,six
Year 4,small
Year 4,start
Year 4,ten
Year 4,today
Year 4,together
Year 4,try
Year 4,warm
To Be Levelled,apple
To Be Levelled,baby
To Be Levelled,back
To Be Levelled,ball
To Be Levelled,bear
To Be Levelled,bed
To Be Levelled,bell
To Be Levelled,bird
To Be Levelled,birthday
To Be Levelled,boat
To Be Levelled,box
To Be Levelled,boy
To Be Levelled,bread
To Be Levelled,brother
To Be Levelled,cake
To Be Levelled,car
To Be Levelled,cat
To Be Levelled,chair
To Be Levelled,chicken
To Be Levelled,children
To Be Levelled,christmas
To Be Levelled,coat
To Be Levelled,corn
To Be Levelled,cow
To Be Levelled,day
To Be Levelled,dog
To Be Levelled,doll
To Be Levelled,door
To Be Levelled,duck
To Be Levelled,egg
To Be Levelled,eye
To Be Levelled,farm
To Be Levelled,farmer
To Be Levelled,father
To Be Levelled,feet
To Be Levelled,fire
To Be Levelled,fish
To Be Levelled,floor
To Be Levelled,flower
To Be Levelled,game
To Be Levelled,garden
To Be Levelled,girl
To Be Levelled,goodbye
To Be Levelled,grass
To Be Levelled,ground
To Be Levelled,hand
To Be Levelled,head
To Be Levelled,hill
To Be Levelled,home
To Be Levelled,horse
To Be Levelled,house
To Be Levelled,kitty
To Be Levelled,leg
To Be Levelled,letter
To Be Levelled,man
To Be Levelled,men
To Be Levelled,milk
To Be Levelled,money
To Be Levelled,morning
To Be Levelled,mother
To Be Levelled,name
To Be Levelled,night
To Be Levelled,nest
To Be Levelled,paper
To Be Levelled,party
To Be Levelled,picture
To Be Levelled,pig
To Be Levelled,rabbit
To Be Levelled,rain
To Be Levelled,ring
To Be Levelled,robin
To Be Levelled,school
To Be Levelled,seed
To Be Levelled,sheep
To Be Levelled,shoe
To Be Levelled,sister
To Be Levelled,snow
To Be Levelled,song
To Be Levelled,squirrel
To Be Levelled,stick
To Be Levelled,stone
To Be Levelled,sun
To Be Levelled,table
To Be Levelled,thing
To Be Levelled,time
To Be Levelled,top
To Be Levelled,toy
To Be Levelled,tree
To Be Levelled,watch
To Be Levelled,water
To Be Levelled,way
To Be Levelled,wind
To Be Levelled,window
To Be Levelled,wood
