change_id,action,proposed_category,word,review_group,rationale,review_status,source_note
PAPV2-001,add,Transport,Bus,personal_and_local_movement,Common shared local transport concept,approved,transport candidate bank
PAPV2-002,add,Transport,Motorcycle,personal_and_local_movement,Common personal road transport concept,approved,transport candidate bank
PAPV2-003,add,Transport,Scooter,personal_and_local_movement,Common short-distance transport concept,approved,transport candidate bank
PAPV2-004,add,Transport,Van,personal_and_local_movement,Common family and practical transport concept,approved,transport candidate bank
PAPV2-005,add,Transport,Taxi,personal_and_local_movement,Common on-demand transport concept,approved,transport candidate bank
PAPV2-006,add,Transport,Ute,personal_and_local_movement,Common practical road transport concept in local use,approved,transport candidate bank
PAPV2-007,add,Transport,Pickup truck,personal_and_local_movement,Common practical road transport concept,approved,transport candidate bank
PAPV2-008,add,Transport,Minivan,personal_and_local_movement,Common family transport concept,approved,transport candidate bank
PAPV2-009,add,Transport,Camper van,personal_and_local_movement,Recognisable travel and family transport concept,approved,transport candidate bank
PAPV2-010,add,Transport,Carriage,personal_and_local_movement,Recognisable non-motorised transport concept,approved,transport candidate bank
PAPV2-011,add,Transport,Horse-drawn carriage,personal_and_local_movement,Recognisable historical and cultural transport concept,approved,transport candidate bank
PAPV2-012,add,Transport,Wagon,personal_and_local_movement,Common carrying and rural transport concept,approved,transport candidate bank
PAPV2-013,add,Transport,Trike,personal_and_local_movement,Accessible wheeled transport concept,approved,transport candidate bank
PAPV2-014,add,Transport,Kick scooter,personal_and_local_movement,Common child and neighbourhood movement concept,approved,transport candidate bank
PAPV2-015,add,Transport,Skateboard,personal_and_local_movement,Common wheeled movement concept,approved,transport candidate bank
PAPV2-016,add,Transport,Roller Skates,personal_and_local_movement,Common wheeled movement concept,approved,transport candidate bank
PAPV2-017,add,Transport,Electric Bike,personal_and_local_movement,Contemporary assisted personal transport concept,approved,transport candidate bank
PAPV2-018,add,Transport,Electric Scooter,personal_and_local_movement,Contemporary assisted personal transport concept,approved,transport candidate bank
PAPV2-019,add,Transport,Articulated bus,public_service_and_accessible_transport,Recognisable high-capacity public transport concept,approved,transport candidate bank
PAPV2-020,add,Transport,Double-decker bus,public_service_and_accessible_transport,Recognisable public transport concept,approved,transport candidate bank
PAPV2-021,add,Transport,Trolleybus,public_service_and_accessible_transport,Recognisable public transport concept,approved,transport candidate bank
PAPV2-022,add,Transport,Tram,public_service_and_accessible_transport,Recognisable urban public transport concept,approved,transport candidate bank
PAPV2-023,add,Transport,Metro,public_service_and_accessible_transport,Recognisable urban rail transport concept,approved,transport candidate bank
PAPV2-024,add,Transport,Light rail,public_service_and_accessible_transport,Recognisable public rail transport concept,approved,transport candidate bank
PAPV2-025,add,Transport,Passenger train,public_service_and_accessible_transport,Clarifies people-carrying rail transport,approved,transport candidate bank
PAPV2-026,add,Transport,Ferry,public_service_and_accessible_transport,Common public water transport concept,approved,transport candidate bank
PAPV2-027,add,Transport,Fire truck,public_service_and_accessible_transport,Common emergency-service transport concept,approved,transport candidate bank
PAPV2-028,add,Transport,Police car,public_service_and_accessible_transport,Common emergency-service transport concept,approved,transport candidate bank
PAPV2-029,add,Transport,Delivery van,public_service_and_accessible_transport,Common goods-delivery transport concept,approved,transport candidate bank
PAPV2-030,add,Transport,Mail truck,public_service_and_accessible_transport,Recognisable postal-service transport concept,approved,transport candidate bank
PAPV2-031,add,Transport,Garbage truck,public_service_and_accessible_transport,Recognisable community-service transport concept,approved,transport candidate bank
PAPV2-032,add,Transport,Wheelchair-accessible vehicle,public_service_and_accessible_transport,Names accessible transport directly,approved,transport candidate bank
PAPV2-033,add,Transport,Canoe,water_transport,Common small-watercraft concept,approved,transport candidate bank
PAPV2-034,add,Transport,Kayak,water_transport,Common small-watercraft concept,approved,transport candidate bank
PAPV2-035,add,Transport,Raft,water_transport,Common simple-watercraft concept,approved,transport candidate bank
PAPV2-036,add,Transport,Rowboat,water_transport,Common small-watercraft concept,approved,transport candidate bank
PAPV2-037,add,Transport,Sailboat,water_transport,Common wind-powered watercraft concept,approved,transport candidate bank
PAPV2-038,add,Transport,Ship,water_transport,Broad sea-transport concept,approved,transport candidate bank
PAPV2-039,add,Transport,Submarine,water_transport,Recognisable underwater transport concept,approved,transport candidate bank
PAPV2-040,add,Transport,Water taxi,water_transport,Common water-route public transport concept,approved,transport candidate bank
PAPV2-041,add,Transport,Motorboat,water_transport,Common powered-watercraft concept,approved,transport candidate bank
