# Source: paul ransfield (ordered by category and word length)
# Attribution: paul ransfield, Kapai Group
# haporiCRM_ID: to be supplied
# List: 1800 — The Core Foundation Words
category,word
Actions,Beg
Actions,Bow
Actions,Cry
Actions,Dig
Actions,Eat
Actions,Fly
Actions,Hug
Actions,Jog
Actions,Mop
Actions,Nap
Actions,Paw
Actions,Pet
Actions,Run
Actions,Sit
Actions,Ski
Actions,Bake
Actions,Bark
Actions,Bend
Actions,Cook
Actions,Draw
Actions,Dust
Actions,Feed
Actions,Fold
Actions,Hide
Actions,Hike
Actions,Howl
Actions,Iron
Actions,Jump
Actions,Kick
Actions,Kiss
Actions,Lift
Actions,Pack
Actions,Play
Actions,Pray
Actions,Pull
Actions,Push
Actions,Rake
Actions,Read
Actions,Ride
Actions,Roll
Actions,Seek
Actions,Shop
Actions,Sing
Actions,Skip
Actions,Sort
Actions,Spin
Actions,Stay
Actions,Surf
Actions,Swim
Actions,Talk
Actions,Walk
Actions,Wash
Actions,Weed
Actions,Work
Actions,Yoga
Actions,Bang!
Actions,Bathe
Actions,Brush
Actions,Catch
Actions,Chase
Actions,Clean
Actions,Climb
Actions,Crawl
Actions,Dance
Actions,Dream
Actions,Drink
Actions,Drive
Actions,Fetch
Actions,Fight
Actions,Greet
Actions,Groom
Actions,Guard
Actions,Laugh
Actions,Leash
Actions,Paint
Actions,Plant
Actions,Prune
Actions,Punch
Actions,Shake
Actions,Shave
Actions,Skate
Actions,Sleep
Actions,Slide
Actions,Smile
Actions,Sneak
Actions,Sniff
Actions,Speak
Actions,Study
Actions,Sweep
Actions,Throw
Actions,Train
Actions,Twist
Actions,Water
Actions,Write
Actions,Biking
Actions,Crying
Actions,Eating
Actions,Hiking
Actions,Listen
Actions,Patrol
Actions,Shower
Actions,Skiing
Actions,Typing
Actions,Unpack
Actions,Vacuum
Actions,Wiggle
Actions,Arrange
Actions,Cooking
Actions,Cycling
Actions,Dancing
Actions,Drawing
Actions,Driving
Actions,Explore
Actions,Fishing
Actions,Harvest
Actions,Jogging
Actions,Jumping
Actions,Mooning
Actions,Praying
Actions,Release
Actions,Running
Actions,Singing
Actions,Stretch
Actions,Surfing
Actions,Talking
Actions,Writing
Actions,Climbing
Actions,Decorate
Actions,Drinking
Actions,Juggling
Actions,Laughing
Actions,Lie Down
Actions,Meditate
Actions,Organize
Actions,Play Bow
Actions,Shopping
Actions,Skipping
Actions,Sleeping
Actions,Swimming
Actions,Gardening
Actions,High Five
Actions,High-Five
Actions,Listening
Actions,Obedience
Actions,Play Dead
Actions,Roll Over
Actions,Skydiving
Actions,Meditating
Actions,Tug-of-War
Actions,Bungee Jump
Actions,Cow Tipping
Actions,Headbanging
Actions,Moonwalking
Actions,Paragliding
Actions,Shake Hands
Actions,Breakdancing
Actions,Cartwheeling
Actions,Hula Hooping
Actions,Belly Dancing
Actions,Limbo Dancing
Animals,Cat
Animals,Cow
Animals,Dog
Animals,Emu
Animals,Fox
Animals,Hen
Animals,Owl
Animals,Yak
Animals,Bear
Animals,Bird
Animals,Deer
Animals,Duck
Animals,Fish
Animals,Gull
Animals,Hawk
Animals,Ibis
Animals,Kite
Animals,Knot
Animals,Lion
Animals,Ruff
Animals,Seal
Animals,Swan
Animals,Wolf
Animals,Wren
Animals,Bison
Animals,Camel
Animals,Chick
Animals,Crane
Animals,Eagle
Animals,Egret
Animals,Finch
Animals,Goose
Animals,Heron
Animals,Hippo
Animals,Hobby
Animals,Horse
Animals,Koala
Animals,Llama
Animals,Moose
Animals,Otter
Animals,Panda
Animals,Rhino
Animals,Robin
Animals,Sloth
Animals,Snake
Animals,Snipe
Animals,Stork
Animals,Swift
Animals,Tiger
Animals,Whale
Animals,Zebra
Animals,Avocet
Animals,Beaver
Animals,Canary
Animals,Condor
Animals,Curlew
Animals,Dunlin
Animals,Falcon
Animals,Godwit
Animals,Martin
Animals,Merlin
Animals,Monkey
Animals,Osprey
Animals,Parrot
Animals,Pigeon
Animals,Rabbit
Animals,Spider
Animals,Thrush
Animals,Toucan
Animals,Turkey
Animals,Turtle
Animals,Bigfoot
Animals,Buffalo
Animals,Buzzard
Animals,Chicken
Animals,Dolphin
Animals,Giraffe
Animals,Gorilla
Animals,Goshawk
Animals,Harrier
Animals,Kestrel
Animals,Lapwing
Animals,Meerkat
Animals,Octopus
Animals,Ostrich
Animals,Peacock
Animals,Pelican
Animals,Penguin
Animals,Raccoon
Animals,Rooster
Animals,Seagull
Animals,Sparrow
Animals,Swallow
Animals,Vulture
Animals,Warbler
Animals,Waxwing
Animals,Antelope
Animals,Blue Jay
Animals,Bluebird
Animals,Cardinal
Animals,Cockatoo
Animals,Duckling
Animals,Elephant
Animals,Flamingo
Animals,Hedgehog
Animals,Kangaroo
Animals,Nuthatch
Animals,Platypus
Animals,Red Kite
Animals,Redshank
Animals,Reindeer
Animals,Squirrel
Animals,Starling
Animals,Titmouse
Animals,Whimbrel
Animals,Woodcock
Animals,Albatross
Animals,Armadillo
Animals,Butterfly
Animals,Chameleon
Animals,Chickadee
Animals,Cormorant
Animals,Goldfinch
Animals,Orangutan
Animals,Peregrine
Animals,Ptarmigan
Animals,Spoonbill
Animals,Turnstone
Animals,Bald Eagle
Animals,Black Kite
Animals,Chimpanzee
Animals,Jack Snipe
Animals,Kingfisher
Animals,Polar Bear
Animals,Red Grouse
Animals,Rhinoceros
Animals,Sanderling
Animals,Woodpecker
Animals,Black Stork
Animals,Great Snipe
Animals,Hummingbird
Animals,Nightingale
Animals,Sparrowhawk
Animals,White Stork
Animals,Black Grouse
Animals,Golden Eagle
Animals,Great Bustard
Animals,Komodo Dragon
Animals,Oystercatcher
Animals,Red Phalarope
Animals,Grey Phalarope
Animals,Little Bustard
Animals,Houbara Bustard
Animals,Purple Sandpiper
Animals,Red-Necked Grebe
Animals,Great Crested Grebe
Animals,Macqueen’s Bustard
Fantasy,UFO
Fantasy,Alien
Fantasy,Ninja
Fantasy,Castle
