# Source: paul ransfield (curated successor from Papawai v1)
# Attribution: paul ransfield, Kapai Group
# haporiCRM_ID: to be supplied
# List: Papawai 1800 v2 — Curated Foundation Words
# Parent source: papawai_1800_words.csv
# Parent SHA-256: 3e38f0518a21c1b08a3d542596522f2fdbc586c8f528ed2c7b76bb3b0a5776d1
# Approved decision ledger SHA-256: e03da9bf0778fb4a643a8bf045827903d4cf60da7f42ed8bedcba65f49c7de36
# Revision: 2026-08-17
# Governance: approved v2 decisions retain earlier raw source and database evidence; health and wellbeing is deferred to a separate foundation gate.
# Scope: 357 approved removals, 54 approved broad-everyday transport additions, 5 approved transport recategorisations, and retained Boat.
category,word
Actions,Beg
Actions,Bow
Actions,Cry
Actions,Dig
Actions,Eat
Actions,Fly
Actions,Hug
Actions,Jog
Actions,Mop
Actions,Nap
Actions,Paw
Actions,Pet
Actions,Run
Actions,Sit
Actions,Ski
Actions,Bake
Actions,Bark
Actions,Bend
Actions,Cook
Actions,Draw
Actions,Dust
Actions,Feed
Actions,Fold
Actions,Hide
Actions,Hike
Actions,Howl
Actions,Iron
Actions,Jump
Actions,Kick
Actions,Kiss
Actions,Lift
Actions,Pack
Actions,Play
Actions,Pray
Actions,Pull
Actions,Push
Actions,Rake
Actions,Read
Actions,Ride
Actions,Roll
Actions,Seek
Actions,Shop
Actions,Sing
Actions,Skip
Actions,Sort
Actions,Spin
Actions,Stay
Actions,Surf
Actions,Swim
Actions,Talk
Actions,Walk
Actions,Wash
Actions,Weed
Actions,Work
Actions,Yoga
Actions,Bang!
Actions,Bathe
Actions,Brush
Actions,Catch
Actions,Chase
Actions,Clean
Actions,Climb
Actions,Crawl
Actions,Dance
Actions,Dream
Actions,Drink
Actions,Drive
Actions,Fetch
Actions,Fight
Actions,Greet
Actions,Groom
Actions,Guard
Actions,Laugh
Actions,Leash
Actions,Paint
Actions,Plant
Actions,Prune
Actions,Punch
Actions,Shake
Actions,Shave
Actions,Skate
Actions,Sleep
Actions,Slide
Actions,Smile
Actions,Sneak
Actions,Sniff
Actions,Speak
Actions,Study
Actions,Sweep
Actions,Throw
Actions,Train
Actions,Twist
Actions,Water
Actions,Write
Actions,Biking
Actions,Crying
Actions,Eating
Actions,Hiking
Actions,Listen
Actions,Shower
Actions,Skiing
Actions,Typing
Actions,Unpack
Actions,Vacuum
Actions,Wiggle
Actions,Arrange
Actions,Cooking
Actions,Cycling
Actions,Dancing
Actions,Drawing
Actions,Driving
Actions,Explore
Actions,Fishing
Actions,Harvest
Actions,Jogging
Actions,Jumping
Actions,Praying
Actions,Release
Actions,Running
Actions,Singing
Actions,Stretch
Actions,Surfing
Actions,Talking
Actions,Writing
Actions,Climbing
Actions,Decorate
Actions,Drinking
Actions,Juggling
Actions,Laughing
Actions,Lie Down
Actions,Meditate
Actions,Organize
Actions,Shopping
Actions,Skipping
Actions,Sleeping
Actions,Swimming
Actions,Gardening
Actions,Listening
Actions,Skydiving
Actions,Meditating
Actions,Paragliding
Actions,Shake Hands
Actions,Breakdancing
Actions,Cartwheeling
Animals,Cat
Animals,Cow
Animals,Dog
Animals,Emu
Animals,Fox
Animals,Hen
Animals,Owl
Animals,Yak
Animals,Bear
Animals,Bird
Animals,Deer
Animals,Duck
Animals,Fish
Animals,Gull
Animals,Hawk
Animals,Lion
Animals,Seal
Animals,Swan
Animals,Wolf
Animals,Bison
Animals,Camel
Animals,Chick
Animals,Crane
Animals,Eagle
Animals,Finch
Animals,Goose
Animals,Heron
Animals,Hippo
Animals,Horse
Animals,Koala
Animals,Llama
Animals,Moose
Animals,Otter
Animals,Panda
Animals,Rhino
Animals,Robin
Animals,Sloth
Animals,Snake
Animals,Stork
Animals,Swift
Animals,Tiger
Animals,Whale
Animals,Zebra
Animals,Beaver
Animals,Condor
Animals,Falcon
Animals,Godwit
Animals,Merlin
Animals,Monkey
Animals,Parrot
Animals,Pigeon
Animals,Rabbit
Animals,Spider
Animals,Toucan
Animals,Turkey
Animals,Turtle
Animals,Bigfoot
Animals,Buffalo
Animals,Buzzard
Animals,Chicken
Animals,Dolphin
Animals,Giraffe
Animals,Gorilla
Animals,Harrier
Animals,Meerkat
Animals,Octopus
Animals,Ostrich
Animals,Peacock
Animals,Pelican
Animals,Penguin
Animals,Raccoon
Animals,Rooster
Animals,Seagull
Animals,Sparrow
Animals,Swallow
Animals,Vulture
Animals,Antelope
Animals,Cockatoo
Animals,Duckling
Animals,Elephant
Animals,Flamingo
Animals,Hedgehog
Animals,Kangaroo
Animals,Platypus
Animals,Reindeer
Animals,Squirrel
Animals,Albatross
Animals,Armadillo
Animals,Butterfly
Animals,Chameleon
Animals,Orangutan
Animals,Bald Eagle
Animals,Chimpanzee
Animals,Kingfisher
Animals,Polar Bear
Animals,Rhinoceros
Animals,Woodpecker
Animals,Hummingbird
Animals,Nightingale
Animals,Golden Eagle
Animals,Komodo Dragon
Animals,Oystercatcher
Fantasy,UFO
Fantasy,Alien
Fantasy,Ninja
Fantasy,Castle
Fantasy,Dragon
Fantasy,Spider
Fantasy,Zombie
Fantasy,Rainbow
Fantasy,Unicorn
Fantasy,Tooth Fairy
Food,Pizza
Food,Banana
Food and Drink,Pie
Food and Drink,Corn
Food and Drink,Dill
Food and Drink,Kiwi
Food and Drink,Leek
Food and Drink,Lime
Food and Drink,Mint
Food and Drink,Naan
Food and Drink,Oats
Food and Drink,Pear
Food and Drink,Peas
Food and Drink,Pita
Food and Drink,Plum
Food and Drink,Rice
Food and Drink,Sage
Food and Drink,Soba
Food and Drink,Tart
Food and Drink,Apple
Food and Drink,Basil
Food and Drink,Crepe
Food and Drink,Juice
Food and Drink,Lemon
Food and Drink,Mango
Food and Drink,Onion
Food and Drink,Pasta
Food and Drink,Peach
Food and Drink,Pecan
Food and Drink,Penne
Food and Drink,Ramen
Food and Drink,Scone
Food and Drink,Sushi
Food and Drink,Thyme
Food and Drink,Almond
Food and Drink,Banana
Food and Drink,Butter
